t,D
1,250052
2,235542
3,221318
4,211104
5,207645
6,209220
7,213262
8,213787
9,216576
10,234105
11,249730
12,259512
13,265816
14,268326
15,254713
16,247064
17,249797
18,277039
19,289517
20,296833
21,301145
22,295476
23,278011
24,255924
25,237369
26,222728
27,214652
28,211194
29,212793
30,225567
31,238898
32,253609
33,274384
34,301220
35,311151
36,309854
37,312842
38,311628
39,299299
40,290713
41,291390
42,317781
43,329772
44,335420
45,336568
46,322750
47,301517
48,277719
49,254932
50,237932
51,226958
52,223514
53,221977
54,226088
55,233281
56,241204
57,258372
58,283912
59,301502
60,306149
61,312604
62,312907
63,298949
64,293523
65,295999
66,318459
67,327306
68,335817
69,338514
70,325903
71,303545
72,276280
73,253699
74,238229
75,231983
76,230986
77,236631
78,259089
79,293397
80,324603
81,347763
82,363091
83,365368
84,365922
85,368546
86,361525
87,351178
88,347029
89,350785
90,365539
91,369261
92,370388
93,368766
94,347795
95,317947
96,292737
97,269003
98,252316
99,243517
100,243553
101,247612
102,267671
103,299777
104,329107
105,352640
106,366171
107,367440
108,363135
109,364023
110,353328
111,340294
112,336689
113,336787
114,348871
115,350394
116,348232
117,346891
118,330556
119,310948
120,292285
121,268294
122,248789
123,238522
124,232194
125,231866
126,236132
127,244511
128,249632
129,264442
130,284080
131,297990
132,300141
133,305513
134,301586
135,286286
136,279996
137,282942
138,306638
139,321677
140,333092
141,340409
142,333418
143,312240
144,284741
145,261126
146,246528
147,238994
148,237664
149,245909
150,274490
151,321320
152,358191
153,379261
154,393077
155,397610
156,395509
157,396473
158,385800
159,374811
160,371800
161,376310
162,395168
163,403279
164,403988
165,398976
166,371721
167,337860
168,313183
169,291463
170,276661
171,267418
172,262711
173,268236
174,291944
175,334794
176,367568
177,378544
178,386272
179,387564
180,385423
181,385108
182,373247
183,363616
184,359780
185,363438
186,382799
187,389432
188,388294
189,382565
190,358517
191,331079
192,308815
193,285968
194,268750
195,261141
196,258347
197,254976
198,262387
199,273727
200,290970
201,315165
202,338577
203,346086
204,343953
205,344499
206,340214
207,325186
208,315557
209,314139
210,339811
211,352600
212,353928
213,352974
214,338667
215,318892
216,295693
217,274269
218,255673
219,245106
220,239072
221,238392
222,243212
223,250044
224,256649
225,272570
226,299943
227,315718
228,319720
229,330618
230,330054
231,315939
232,306437
233,307265
234,331022
235,344395
236,353532
237,356759
238,345428
239,320172
240,291649
241,267642
242,253214
243,245031
244,244872
245,253667
246,285870
247,338378
248,372682
