i,j,rho
1,1,-1
1,6,0.722
1,7,0.178
2,6,-1
2,20,1.745
3,3,-0.468
3,6,-1
3,7,0.302
3,8,0.102
4,5,-1
4,20,1
5,3,0.1869
5,8,0.01946
5,9,0.15578
5,20,-1
6,7,-7.32
6,8,-1
6,11,5.33
7,4,-1
7,20,1
8,4,-1
8,16,1
9,3,-151000
9,17,-1
10,17,-1
10,20,0.036
11,4,-1
11,7,-3.506
11,14,1
12,3,-0.662
12,11,-0.108
12,12,0.982
12,14,-1
12,15,0.102
12,19,-0.163
13,18,-1
13,20,0.00231
14,18,294
14,20,-1
15,2,-1
15,17,0.0486
15,20,0.0725
16,6,-1
16,19,6.084
17,8,-5.49
17,9,-1
17,13,1.89
18,13,-1
18,20,9.065
19,3,-0.109
19,6,-1
19,8,0.0327
19,10,0.24
19,19,0.0672
20,3,-0.147
20,6,-1
20,11,0.776
20,19,0.0111
21,1,-1
21,3,-0.579
21,10,0.276
21,19,0.2214
22,3,-0.071
22,6,-1
22,10,0.0943
22,12,0.284
22,19,1.5986
23,16,-1
23,17,1.477
23,20,1
