t,solar
1,
2,
3,
4,
5,
6,
7,0
8,293.4
9,727.3
10,1128.8
11,1411.6
12,1513.5
13,1411.6
14,1128.8
15,727.3
16,293.4
17,0
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,0
32,303.6
33,749.4
34,1161.8
35,1452.3
36,1556.8
37,1452.3
38,1161.8
39,749.4
40,303.6
41,0
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,0
56,302.8
57,744
58,1152
59,1439.3
60,1542.8
61,1439.3
62,1152
63,744
64,302.8
65,0
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,0
80,313.5
81,766.8
82,1185.7
83,1480.7
84,1586.9
85,1480.7
86,1185.7
87,766.8
88,313.5
89,0
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,0
104,273.9
105,666.5
106,1029.2
107,1284.5
108,1376.4
109,1284.5
110,1029.2
111,666.5
112,273.9
113,0
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,0
128,303.8
129,735.4
130,1134
131,1414.4
132,1515.4
133,1414.4
134,1134
135,735.4
136,303.8
137,0
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,0
152,304.7
153,733.3
154,1128.9
155,1407.3
156,1507.4
157,1407.3
158,1128.9
159,733.3
160,304.7
161,0
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,0
176,326.2
177,780.7
178,1200
179,1494.8
180,1600.9
181,1494.8
182,1200
183,780.7
184,326.2
185,0
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,0
200,295.1
201,702
202,1077.2
203,1340.9
204,1435.9
205,1340.9
206,1077.2
207,702
208,295.1
209,0
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,0
224,301.9
225,713.5
226,1092.9
227,1359.6
228,1455.5
229,1359.6
230,1092.9
231,713.5
232,301.9
233,0
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,0
248,321.4
249,754.9
250,1154.1
251,1434.6
252,1535.6
253,1434.6
254,1154.1
255,754.9
256,321.4
257,0
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,0
272,309.9
273,723.1
274,1103.3
275,1370.4
276,1466.5
277,1370.4
278,1103.3
279,723.1
280,309.9
281,0
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,0
296,364.3
297,844.1
298,1285.5
299,1595.4
300,1706.9
301,1595.4
302,1285.5
303,844.1
304,364.3
305,0
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,0
320,359.5
321,827.3
322,1257.3
323,1559.2
324,1667.7
325,1559.2
326,1257.3
327,827.3
328,359.5
329,0
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,0
344,361.7
345,826.6
346,1253.6
347,1553.3
348,1661
349,1553.3
350,1253.6
351,826.6
352,361.7
353,0
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,387.7
369,879.6
370,1331.1
371,1647.9
372,1761.8
373,1647.9
374,1331.1
375,879.6
376,387.7
377,0
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,0
392,396.5
393,893.2
394,1348.8
395,1668.4
396,1783.2
397,1668.4
398,1348.8
399,893.2
400,396.5
401,0
402,
403,
404,
405,
406,
407,
408,
409,
410,
411,
412,
413,
414,
415,0
