t,water
1,2127000
2,2127000
3,2127000
4,2128000
5,2129000
6,2129000
7,2127000
8,2129000
9,2130000
10,2131000
11,2129000
12,2129000
13,2130000
14,2130000
15,2131000
16,2129000
17,2129000
18,2130000
19,2131000
20,2131000
21,2129000
22,2131000
23,2132000
24,2132000
25,2131000
26,2132000
27,2132000
28,2133000
29,2133000
30,2132000
31,2133000
32,2134000
33,2133000
34,2133000
35,2134000
36,2134000
37,2135000
38,2134000
39,2134000
40,2135000
41,2135000
42,2135000
43,2134000
44,2134000
45,2135000
46,2136000
47,2136000
48,2137000
49,2138000
50,2138000
51,2138000
52,2137000
53,2138000
54,2139000
55,2139000
56,2139000
57,2140000
58,2141000
59,2140000
60,2140000
61,2139000
62,2141000
63,2141000
64,2140000
65,2140000
66,2140000
67,2141000
68,2142000
69,2141000
70,2142000
71,2142000
72,2143000
73,2142000
74,2142000
75,2143000
76,2144000
77,2143000
78,2143000
79,2144000
80,2143000
81,2144000
82,2143000
83,2143000
84,2142000
85,2142000
86,2142000
87,2141000
88,2142000
89,2142000
90,2142000
91,2140000
92,2142000
93,2141000
94,2141000
95,2140000
96,2140000
97,2140000
98,2140000
99,2140000
100,2141000
101,2140000
102,2140000
103,2139000
104,2138000
105,2139000
106,2141000
107,2140000
108,2139000
109,2139000
110,2140000
111,2139000
112,2139000
113,2138000
114,2139000
115,2141000
116,2139000
117,2139000
118,2139000
119,2140000
120,2142000
121,2140000
122,2141000
123,2142000
124,2142000
125,2142000
126,2142000
127,2141000
128,2141000
129,2142000
130,2141000
131,2141000
132,2141000
133,2141000
134,2141000
135,2140000
136,2139000
137,2140000
138,2140000
139,2140000
140,2139000
141,2140000
142,2140000
143,2140000
144,2140000
145,2141000
146,2141000
147,2141000
148,2140000
149,2141000
150,2142000
151,2142000
152,2142000
153,2142000
154,2142000
155,2142000
156,2142000
157,2140000
158,2140000
159,2141000
160,2141000
161,2139000
162,2140000
163,2141000
164,2141000
165,2141000
166,2141000
167,2141000
168,2141000
169,2142000
170,2141000
171,2141000
172,2142000
173,2143000
174,2141000
175,2142000
176,2142000
177,2142000
178,2140000
179,2139000
180,2139000
181,2139000
182,2139000
183,2139000
184,2138000
185,2137000
186,2137000
187,2138000
188,2138000
189,2138000
190,2139000
191,2138000
192,2138000
193,2139000
194,2139000
195,2139000
196,2139000
197,2138000
198,2139000
199,2141000
200,2148000
201,2140000
202,2140000
203,2149000
204,2149000
205,2139000
206,2140000
207,2140000
208,2141000
209,2140000
210,2139000
211,2140000
212,2141000
213,2140000
214,2140000
215,2140000
216,2142000
217,2141000
218,2140000
219,2140000
220,2141000
221,2143000
222,2140000
223,2141000
224,2141000
225,2141000
226,2141000
227,2141000
228,2140000
229,2140000
230,2141000
231,2139000
232,2139000
233,2141000
234,2141000
235,2140000
236,2140000
237,2141000
238,2143000
239,2142000
240,2142000
241,2143000
242,2144000
243,2142000
244,2143000
245,2144000
246,2143000
247,2145000
248,2143000
249,2144000
250,2145000
251,2143000
252,2143000
253,2144000
254,2145000
255,2144000
256,2145000
257,2143000
258,2143000
259,2144000
260,2144000
261,2143000
262,2144000
263,2145000
264,2145000
265,2144000
266,2145000
267,2145000
268,2146000
269,2145000
270,2144000
271,2145000
272,2145000
273,2146000
274,2144000
275,2145000
276,2144000
277,2144000
278,2142000
279,2143000
280,2143000
281,2144000
282,2144000
283,2142000
284,2144000
285,2144000
286,2144000
287,2143000
288,2144000
289,2145000
290,2145000
291,2144000
292,2145000
293,2145000
294,2146000
295,2143000
296,2145000
297,2145000
298,2146000
299,2145000
300,2144000
301,2144000
302,2144000
303,2143000
304,2142000
305,2142000
306,2143000
307,2143000
308,2142000
309,2142000
310,2143000
311,2144000
312,2144000
313,2142000
314,2144000
315,2143000
316,2144000
317,2143000
318,2143000
319,2143000
320,2144000
321,2142000
322,2142000
323,2142000
324,2143000
325,2142000
326,2141000
327,2141000
328,2141000
329,2142000
330,2140000
331,2140000
332,2141000
333,2141000
334,2141000
335,2141000
336,2140000
337,2141000
338,2142000
339,2139000
340,2139000
341,2140000
342,2139000
343,2138000
344,2140000
345,2139000
346,2140000
347,2140000
348,2140000
349,2139000
350,2139000
351,2140000
352,2138000
353,2140000
354,2140000
355,2142000
356,2141000
357,2141000
358,2142000
359,2142000
360,2143000
361,2141000
362,2142000
363,2142000
364,2143000
365,2141000
366,2142000
367,2143000
368,2144000
369,2143000
370,2143000
371,2142000
372,2143000
373,2142000
374,2142000
375,2142000
376,2143000
377,2142000
378,2141000
379,2142000
380,2142000
381,2144000
382,2144000
383,2146000
384,2148000
385,2148000
386,2144000
387,2145000
388,2144000
389,2145000
390,2146000
391,2145000
392,2146000
393,2146000
394,2146000
395,2146000
396,2146000
397,2139000
398,2133000
399,2135000
400,2136000
401,2134000
402,2136000
403,2136000
404,2136000
405,2137000
406,2136000
407,2137000
408,2137000
409,2138000
410,2138000
411,2138000
412,2137000
413,2138000
414,2138000
415,2138000
416,2138000
417,2139000
418,2139000
419,2139000
420,2139000
421,2138000
422,2138000
423,2137000
424,2137000
425,2137000
426,2137000
427,2136000
428,2137000
429,2137000
430,2136000
431,2138000
432,2137000
433,2138000
434,2137000
435,2138000
436,2139000
437,2138000
438,2138000
439,2139000
440,2138000
441,2139000
442,2139000
443,2138000
444,2138000
445,2138000
446,2138000
447,2136000
448,2137000
449,2135000
450,2136000
451,2134000
452,2136000
453,2136000
454,2138000
455,2137000
456,2139000
457,2139000
458,2138000
459,2140000
460,2138000
461,2139000
462,2139000
463,2139000
464,2139000
465,2147000
466,2138000
467,2138000
468,2138000
469,2137000
470,2138000
471,2138000
472,2136000
473,2137000
474,2136000
475,2137000
476,2137000
477,2137000
478,2137000
479,2139000
480,2138000
481,2138000
482,2139000
483,2138000
484,2138000
485,2139000
486,2137000
487,2138000
488,2139000
489,2138000
490,2139000
491,2139000
492,2137000
493,2138000
494,2137000
495,2137000
496,2137000
497,2137000
498,2136000
499,2135000
500,2138000
501,2136000
502,2137000
503,2138000
504,2137000
505,2139000
506,2138000
507,2137000
508,2138000
509,2138000
510,2138000
511,2138000
512,2138000
513,2138000
514,2138000
515,2140000
516,2160000
517,2157000
518,2154000
519,2147000
520,2137000
521,2138000
522,2138000
523,2138000
524,2137000
525,2138000
526,2138000
527,2138000
528,2140000
529,2141000
530,2141000
531,2141000
532,2139000
533,2139000
534,2140000
535,2140000
536,2138000
537,2140000
538,2140000
539,2140000
540,2139000
541,2139000
542,2139000
543,2140000
544,2139000
545,2139000
546,2139000
547,2139000
548,2139000
549,2139000
550,2139000
551,2140000
552,2139000
553,2139000
554,2140000
555,2140000
556,2140000
557,2139000
558,2140000
559,2140000
560,2140000
561,2139000
562,2140000
563,2140000
564,2141000
565,2141000
566,2141000
567,2141000
568,2141000
569,2141000
570,2141000
571,2141000
572,2141000
573,2141000
574,2141000
575,2142000
576,2142000
577,2142000
578,2142000
579,2142000
580,2143000
581,2143000
582,2143000
583,2143000
584,2143000
585,2144000
586,2142000
587,2144000
588,2144000
589,2144000
590,2143000
591,2142000
592,2143000
593,2144000
594,2143000
595,2142000
596,2143000
597,2144000
598,2143000
599,2142000
600,2143000
601,2143000
602,2143000
603,2142000
604,2142000
605,2143000
606,2143000
607,2142000
608,2141000
609,2142000
610,2141000
611,2138000
612,2138000
613,2138000
614,2138000
615,2138000
616,2138000
617,2139000
618,2139000
619,2138000
620,2138000
621,2139000
622,2139000
623,2139000
624,2139000
625,2139000
626,2139000
627,2138000
628,2139000
629,2139000
630,2139000
631,2139000
632,2138000
633,2139000
634,2139000
635,2138000
636,2137000
637,2137000
638,2137000
639,2137000
640,2136000
641,2136000
642,2137000
643,2136000
644,2136000
645,2136000
646,2136000
647,2136000
648,2136000
649,2136000
650,2136000
651,2136000
652,2135000
653,2136000
654,2136000
655,2136000
656,2135000
657,2135000
658,2136000
659,2136000
660,2136000
661,2135000
662,2136000
663,2136000
664,2136000
665,2135000
666,2135000
667,2135000
668,2135000
669,2134000
670,2135000
671,2135000
672,2135000
673,2135000
674,2135000
675,2135000
676,2136000
677,2135000
678,2136000
679,2136000
680,2136000
681,2136000
682,2136000
683,2136000
684,2136000
685,2136000
686,2136000
687,2136000
688,2137000
689,2137000
690,2135000
691,2136000
692,2136000
693,2136000
694,2136000
695,2136000
696,2137000
697,2137000
698,2136000
699,2137000
700,2139000
701,2138000
702,2137000
703,2138000
704,2138000
705,2139000
706,2139000
707,2139000
708,2139000
709,2140000
710,2140000
711,2140000
712,2141000
713,2142000
714,2141000
715,2141000
716,2142000
717,2142000
718,2143000
719,2142000
720,2143000
721,2143000
722,2143000
723,2143000
724,2144000
725,2144000
726,2145000
727,2145000
728,2145000
729,2145000
730,2145000
731,2145000
732,2145000
733,2146000
734,2146000
735,2146000
736,2145000
737,2146000
738,2146000
739,2146000
740,2146000
741,2147000
742,2148000
743,2148000
744,2148000
745,2149000
746,2149000
747,2148000
748,2148000
749,2149000
750,2150000
751,2150000
752,2149000
753,2150000
754,2150000
755,2151000
756,2150000
757,2151000
758,2152000
759,2152000
760,2151000
761,2151000
762,2151000
763,2151000
764,2151000
765,2151000
766,2152000
767,2152000
768,2152000
769,2152000
770,2154000
771,2154000
772,2154000
773,2154000
774,2154000
775,2155000
776,2155000
777,2155000
778,2155000
779,2156000
780,2157000
781,2157000
782,2157000
783,2157000
784,2158000
785,2157000
786,2157000
787,2157000
788,2156000
789,2156000
790,2156000
791,2156000
792,2157000
793,2156000
794,2156000
795,2157000
796,2157000
797,2156000
798,2156000
799,2157000
800,2158000
801,2157000
802,2157000
803,2157000
804,2159000
805,2159000
806,2158000
807,2158000
808,2159000
809,2159000
810,2159000
811,2159000
812,2159000
813,2159000
814,2157000
815,2158000
816,2159000
817,2159000
818,2158000
819,2158000
820,2159000
821,2159000
822,2159000
823,2159000
824,2159000
825,2160000
826,2159000
827,2160000
828,2161000
829,2161000
830,2161000
831,2161000
832,2161000
833,2161000
834,2160000
835,2161000
836,2162000
837,2162000
838,2162000
839,2162000
840,2162000
841,2162000
842,2162000
843,2162000
844,2162000
845,2163000
846,2163000
847,2163000
848,2163000
849,2164000
850,2164000
851,2163000
852,2165000
853,2165000
854,2166000
855,2165000
856,2165000
857,2165000
858,2166000
859,2165000
860,2165000
861,2165000
862,2166000
863,2165000
864,2166000
865,2166000
866,2167000
867,2166000
868,2167000
869,2167000
870,2168000
871,2168000
872,2167000
873,2168000
874,2169000
875,2169000
876,2170000
877,2170000
878,2171000
879,2171000
880,2172000
881,2171000
882,2172000
883,2172000
884,2171000
885,2172000
886,2172000
887,2173000
888,2172000
889,2173000
890,2174000
891,2175000
892,2175000
893,2174000
894,2175000
895,2176000
896,2176000
897,2176000
898,2177000
899,2178000
900,2178000
901,2177000
902,2178000
903,2178000
904,2179000
905,2177000
906,2178000
907,2178000
908,2179000
909,2178000
910,2179000
911,2180000
912,2180000
913,2179000
914,2180000
915,2180000
916,2180000
917,2180000
918,2181000
919,2182000
920,2183000
921,2182000
922,2182000
923,2183000
924,2183000
925,2183000
926,2183000
927,2183000
928,2183000
929,2183000
930,2183000
931,2183000
932,2183000
933,2184000
934,2183000
935,2184000
936,2185000
937,2185000
938,2184000
939,2185000
940,2186000
941,2186000
942,2186000
943,2186000
944,2187000
945,2187000
946,2187000
947,2187000
948,2187000
949,2187000
950,2188000
951,2189000
952,2188000
953,2188000
954,2189000
955,2187000
956,2188000
957,2189000
958,2189000
959,2189000
960,2190000
961,2190000
962,2190000
963,2189000
964,2190000
965,2190000
966,2191000
967,2190000
968,2190000
969,2190000
970,2191000
