t,wind
1,0.522
2,1.962
3,5.202
4,6.318
5,3.006
6,0.918
7,2.97
8,5.328
9,4.41
10,1.782
11,1.404
12,2.718
13,2.088
14,4.194
15,6.804
16,5.508
17,5.526
18,3.996
19,4.32
20,2.106
21,1.674
22,1.674
23,2.646
24,3.312
25,1.728
26,0.9
27,1.17
28,2.034
29,2.088
30,1.818
31,0.972
32,2.466
33,2.304
34,3.906
35,10.152
36,13.176
37,13.104
38,12.636
39,10.89
40,12.042
41,8.82
42,6.408
43,2.538
44,0.36
45,0.396
46,1.224
47,0.99
48,1.458
49,0.576
50,0.936
51,3.096
52,1.296
53,0.648
54,1.62
55,5.238
56,2.358
57,2.52
58,2.124
59,2.16
60,3.168
61,2.304
62,7.38
63,13.212
64,15.174
65,15.606
66,12.168
67,9.684
68,5.742
69,2.88
70,3.942
71,12.996
72,13.032
73,13.59
74,10.674
75,10.692
76,10.548
77,7.776
78,10.404
79,8.406
80,11.016
81,15.66
82,14.976
83,13.878
84,15.624
85,16.038
86,17.928
87,19.242
88,20.304
89,22.986
90,19.674
91,17.316
92,13.482
93,13.05
94,11.376
95,13.536
96,14.742
97,12.87
98,10.71
99,10.386
100,12.33
101,14.094
102,10.89
103,10.944
104,10.71
105,8.82
106,2.52
107,4.284
108,4.95
109,6.282
110,9.594
111,8.802
112,6.516
113,5.202
114,8.244
115,3.204
116,7.614
117,7.038
118,2.052
119,8.676
120,6.804
121,6.264
122,0.648
123,2.106
124,0.486
125,0.846
126,2.07
127,2.934
128,1.944
129,2.646
130,2.376
131,2.304
132,3.906
133,6.48
134,4.608
135,2.268
136,6.012
137,3.438
138,0.954
139,3.168
140,0.234
141,1.026
142,0.306
143,0.324
144,0.378
145,1.062
146,1.152
147,0.72
148,2.88
149,2.034
150,0.936
151,0.216
152,0.576
153,0.846
154,1.368
155,2.736
156,3.762
157,3.744
158,3.726
159,3.726
160,3.312
161,1.782
162,0.162
163,1.224
164,1.836
165,1.116
166,1.08
167,1.134
168,0.666
169,0.684
170,0.81
171,1.062
172,0.126
173,0.252
174,0.504
175,0.738
176,0.594
177,1.224
178,4.734
179,7.956
180,10.818
181,14.184
182,11.7
183,12.852
184,12.384
185,10.332
186,8.064
187,6.498
188,6.66
189,6.246
190,4.77
191,4.536
192,6.156
193,4.824
194,3.15
195,4.284
196,3.888
197,2.448
198,1.116
199,4.86
200,6.678
201,3.654
202,6.228
203,10.296
204,14.904
205,13.266
206,11.772
207,16.182
208,16.398
209,15.318
210,12.762
211,10.566
212,6.696
213,8.352
214,5.202
215,5.616
216,8.55
217,4.266
218,5.238
219,0.738
220,0.99
221,0.738
222,1.422
223,4.086
224,6.03
225,2.574
226,4.068
227,7.938
228,10.314
229,10.098
230,13.23
231,12.834
232,16.056
233,16.65
234,14.796
235,12.258
236,10.008
237,6.696
238,10.53
239,9.504
240,12.726
241,11.952
242,10.116
243,10.368
244,11.088
245,15.12
246,13.068
247,13.302
248,13.824
249,17.028
250,14.742
251,16.344
252,15.426
253,22.932
254,21.852
255,21.906
256,21.744
257,19.08
258,16.434
259,13.5
260,13.014
261,10.692
262,7.506
263,6.948
264,5.886
265,5.022
266,2.358
267,0.306
268,0.684
269,0.216
270,0.558
271,2.412
272,2.322
273,3.816
274,3.366
275,5.598
276,5.76
277,7.146
278,7.29
279,6.768
280,4.068
281,1.08
282,0.036
283,0.27
284,0.396
285,1.206
286,2.556
287,0.504
288,3.726
289,5.256
290,6.228
291,7.146
292,6.696
293,6.516
294,7.758
295,7.938
296,7.722
297,7.254
298,6.894
299,3.078
300,2.754
301,4.428
302,5.076
303,6.39
304,4.536
305,4.05
306,3.024
307,2.142
308,1.116
309,4.356
310,5.148
311,3.69
312,3.69
313,6.696
314,5.202
315,6.426
316,1.602
317,3.15
318,2.7
319,1.44
320,2.196
321,1.422
322,2.124
323,6.984
324,6.03
325,7.686
326,7.236
327,5.562
328,5.778
329,4.86
330,6.93
331,3.258
332,0.486
333,0.54
334,1.152
335,1.242
336,1.476
337,0.198
338,0.684
339,0.198
340,0.576
341,0.828
342,0.756
343,1.116
344,0.648
345,0.666
346,0.954
347,0.882
348,1.656
349,2.826
350,4.392
351,4.23
352,5.058
353,3.798
354,4.32
355,4.662
356,3.888
357,2.556
358,6.354
359,3.024
360,3.924
361,7.254
362,8.766
363,11.718
364,5.436
365,3.924
366,7.074
367,8.802
