t,wind
1,2.165898304
2,4.167
3,6.080733333
4,1.852
5,5.0004
6,4.63
7,0.123466667
8,0.246933333
9,1.821133333
10,0.926
11,0.8334
12,2.345866667
13,0.864266667
14,2.808866667
15,3.1484
16,8.827866667
17,6.636333333
18,5.7412
19,3.920066667
20,4.784333333
21,2.315
22,2.160666667
23,2.561933333
24,2.469333333
25,4.7226
26,9.506933333
27,10.9268
28,6.284655738
29,14.56906667
30,18.7978
31,16.42106667
32,18.6126
33,17.00753333
34,17.0384
35,17.84093333
36,21.88446667
37,20.71153333
38,23.08826667
39,23.34842858
40,20.0016
41,22.84133333
42,22.53266667
43,11.7602
44,9.476066667
45,9.229133333
46,10.0934
47,3.024933333
48,7.125491525
49,5.677442622
50,9.476066667
51,6.975866667
52,6.2042
53,6.3894
54,6.142466667
55,7.932733333
56,13.82826667
57,17.43966667
58,15.15553333
59,12.1306
60,9.846466667
61,18.73606667
62,15.98893333
63,11.91453333
64,11.7602
65,24.8168
66,21.298
67,23.15
68,26.73053333
69,20.0016
70,24.539
71,16.91493333
72,18.45826667
73,29.632
74,33.30513333
75,33.5212
76,28.48993333
77,21.6684
78,19.69293333
79,18.45826667
80,18.21639344
81,21.69926667
82,25.89713333
83,21.35973333
84,21.23626667
85,24.50813333
86,29.41593333
87,26.88486667
88,23.92166667
89,29.0764
90,35.12626667
91,32.19393333
92,19.87813333
93,30.69925424
94,29.5394
95,27.19353333
96,27.47133333
97,25.58846667
98,18.18046667
99,7.253666667
100,14.353
101,10.71073333
102,15.03206667
103,13.0566
104,10.71731148
105,11.45153333
106,12.80966667
107,14.38386667
108,17.53226667
109,19.60033333
110,21.0202
111,20.61893333
112,27.93433333
113,26.88486667
114,22.16226667
115,23.82906667
116,16.3902
117,16.7606
118,16.4828
119,21.9462
120,12.43926667
121,13.7048
122,15.03206667
123,11.72933333
124,11.05026667
125,17.65573333
126,11.2046
127,10.77246667
128,13.76653333
129,23.9834
130,30.40366667
131,24.23033333
132,23.4278
133,22.31508197
134,16.97666667
135,19.04473333
136,21.05106667
137,18.057
138,28.7986
139,21.51406667
140,14.9086
141,12.8714
142,20.0016
143,17.9644
144,20.86586667
145,30.31106667
146,28.27386667
147,29.13813333
148,21.761
149,23.95253333
150,32.2248
151,29.19986667
152,31.79266667
153,27.47133333
154,26.79226667
155,33.67553333
156,32.3037377
157,27.53306667
158,28.706
159,32.16306667
160,29.2616
161,30.03326667
162,26.4836
163,21.91533333
164,18.39653333
165,20.40286667
166,24.04513333
167,17.56313333
168,11.08113333
169,9.730847457
170,10.24773333
171,9.136533333
172,7.840133333
173,11.8528
174,10.49466667
175,6.482
176,4.876933333
177,8.858733333
178,15.30986667
179,19.3534
180,16.4828
181,18.7052
182,20.49546667
183,21.45233333
184,27.78
185,24.19946667
186,14.20878689
187,12.06886667
188,10.95766667
189,14.13693333
190,14.69253333
191,13.45786667
192,5.494266667
193,7.376610169
194,6.543733333
195,2.561933333
196,2.469333333
197,1.358133333
198,4.105266667
199,4.938666667
200,2.531066667
201,3.8892
202,9.198266667
203,5.309066667
204,9.383466667
205,20.15593333
206,21.14366667
207,23.08826667
208,25.34153333
209,26.14772882
210,32.44086667
211,22.93393333
212,25.34153333
213,23.0574
214,24.2612
215,22.10053333
216,25.24893333
217,21.60666667
218,23.08826667
219,22.90306667
220,24.2612
221,21.42146667
222,20.835
223,15.1864
224,12.53186667
225,15.43333333
226,19.75466667
227,20.71153333
228,19.3534
229,19.13733333
230,18.1496
231,20.77326667
232,20.0942
233,15.742
234,10.15513333
235,7.191933333
236,8.60081356
237,12.34666667
238,10.43293333
239,11.63673333
240,13.36526667
241,13.59179661
242,14.38386667
243,11.4824
244,8.179666667
245,12.47013333
246,11.4824
247,7.620524589
248,11.2972
249,10.15513333
250,24.60073333
251,28.243
252,26.6688
253,25.95886667
254,27.9652
255,27.2244
256,24.32293333
257,20.80413333
258,21.4832
259,12.21064407
260,9.1674
261,8.951333333
262,16.1124
263,18.85953333
264,16.97666667
265,16.95050847
266,18.4274
267,16.54453333
268,13.82826667
269,21.05106667
270,18.67694915
271,14.50733333
272,18.30393333
273,17.7792
274,18.82866667
275,24.60073333
276,30.0024
277,28.72118033
278,28.11953333
279,28.67513333
280,28.48993333
281,23.64386667
282,16.79146667
283,16.1124
284,4.4448
285,6.8524
286,5.062133333
287,6.605466667
288,1.790266667
289,2.573966101
290,4.321333333
291,3.765733333
292,3.1484
293,1.697666667
294,3.487933333
295,5.031266667
296,4.167
297,5.556
298,4.0744
299,2.994066667
300,2.4076
301,2.155606557
302,2.438466667
303,4.969533333
304,2.2224
305,11.9454
306,7.438866667
307,3.673133333
308,5.679466667
309,9.198266667
310,9.383466667
311,5.9264
312,2.778
313,2.668135593
314,4.2596
315,6.905762711
316,7.062711864
317,7.5006
318,1.2038
319,2.654533333
320,2.561933333
321,5.525133333
322,8.766133333
323,3.580533333
324,19.60033333
325,21.51406667
326,21.73822951
327,17.19273333
328,19.71281357
329,17.131
330,20.31026667
331,18.48913333
332,18.18046667
333,21.73013333
334,22.93393333
335,19.7238
336,8.642666667
337,4.438413793
338,6.512866667
339,7.068466667
340,2.9632
341,2.935245282
342,5.988133333
343,7.408
344,5.401666667
345,4.2596
346,4.228733333
347,2.1298
348,2.469333333
349,5.957266667
350,7.438866667
351,8.642666667
352,12.99538983
353,35.68186667
354,35.651
355,37.503
356,33.60924589
357,12.16146667
358,6.235066667
359,9.26
360,6.945
361,11.112
362,7.624066667
363,12.93313333
364,6.543733333
365,10.0934
366,7.562333333
367,8.580933333
368,13.30353333
369,18.2061017
370,24.60073333
371,27.8741695
372,34.23113333
373,40.40446667
374,32.17457628
375,37.1326
376,29.87893333
377,28.39733333
378,26.32926667
379,11.2972
380,9.4452
381,11.23546667
382,11.72933333
383,5.085152543
384,4.969533333
385,4.584459016
386,4.136133333
387,5.7412
388,3.549666667
389,5.4634
390,4.012666667
391,2.919254236
392,2.438466667
393,3.5188
394,1.234666667
395,3.117533333
396,3.549666667
397,0.864266667
398,2.561933333
399,2.253266667
400,2.345866667
401,6.372135593
402,4.691733333
403,3.086666667
404,6.975866667
405,7.654933333
406,6.605466667
407,3.549666667
408,4.321333333
409,6.2042
410,8.1488
411,9.198266667
412,9.692133333
413,5.9264
414,8.977491525
415,3.521836065
416,3.484271186
417,15.52593333
418,21.6684
419,20.4646
420,17.131
421,8.0562
422,17.37793333
423,21.32886667
424,22.62526667
425,25.06373333
426,18.30393333
427,12.038
428,11.60586667
429,13.49762712
430,15.03206667
431,17.47053333
432,13.64306667
433,3.457066667
434,3.302733333
435,7.0376
436,7.5932
437,1.2038
438,7.006733333
439,4.8152
440,3.920066667
441,5.247333333
442,5.031266667
443,7.253666667
444,6.420266667
445,3.179266667
446,3.3336
447,7.6858
448,8.488333333
449,7.438866667
450,8.025333333
451,4.321333333
